sample_reference,Animal,Pen,Diet,RFI_category,DEX_Group,Sampling_Round,Firmicutes,Bacteroidetes,Euryarchaeota,Proteobacteria,Actinobacteria,Verrucomicrobia,TM7,Spirochaetes,Cyanobacteria,Fibrobacteres,SR1,Lentisphaerae,Elusimicrobia,Planctomycetes,Tenericutes,Synergistetes,Chloroflexi,Fusobacteria,Acidobacteria,X.Thermi.,Chlamydiae
200800_R1A,200800,3,PBforg,LOW RFI,CONTROL,R1,0.33618482,0.222379278,0.1907498,0.188914079,0.020202113,0.005378663,0.016833564,0.007058348,0.001349255,0.000477288,0.007214385,0.000807717,0.000624145,0.000284537,0.000697574,0.00033043,0.000385501,2.75E-05,0,7.34E-05,2.75E-05
200810_R1A,200810,3,PBforg,HIGH RFI,DEX,R1,0.288816887,0.371058923,0.177737517,0.127302251,0.012065673,0.005382568,0.007276992,0.002736389,0.000330772,0.002112433,0.000172904,0.000789343,0.003187443,0.000323255,9.77E-05,0.000323255,0.000255597,0,0,1.50E-05,0
200810_R3A,200810,3,PBforg,HIGH RFI,DEX,R3,0.288893535,0.307501103,0.200745697,0.162740725,0.009059865,0.002044277,0.01537854,0.006109601,0.000116152,0.002160429,0.002299812,0.00084791,0.000139383,0.000197459,0.001207982,0.000255535,0.000174228,0,8.13E-05,0,0
200810_R2A,200810,3,PBforg,HIGH RFI,DEX,R2,0.318618846,0.279797968,0.218803438,0.151897444,0.011619084,0.004258066,0.003884353,0.003669185,0.000101922,0.004088196,0.000113246,0.000577557,0.001053192,0.000283116,0.000554908,0.000237818,0.000260467,0,0.000113246,0,0
201098_R1A,201098,3,PBforg,LOW RFI,DEX,R1,0.358474817,0.301743669,0.211120589,0.097428983,0.007457142,0.002164681,0.014198839,0.001385029,0.000697101,0.00019262,0.000568687,0.000357723,0.001751924,0.000128413,0.001825303,0.000275171,0.000100896,0,0,0,1.83E-05
201098_R3A,201098,3,PBforg,LOW RFI,DEX,R3,0.264353067,0.200668586,0.174575169,0.334588339,0.006854692,0.001612372,0.006888459,0.00286175,0.000540271,0.0019416,0.001899391,0.000447412,0.000650014,0.00043897,0.00121561,0.000430529,3.38E-05,0,0,0,0
201098_R2A,201098,3,PBforg,LOW RFI,DEX,R2,0.446980456,0.209429454,0.194540249,0.126563874,0.007191001,0.008453371,0.001431438,0.000462118,0.000169067,0.001217285,0.000202881,0.000135254,0.002434571,5.64E-05,0.000360677,0.000371948,0,0,0,0,0
202205_R1A,202205,3,PBforg,HIGH RFI,CONTROL,R1,0.252479383,0.24457024,0.263507749,0.187615527,0.011810394,0.008788924,0.001910636,0.0054031,0.000115527,0.000382127,0.000337694,0.00839791,0.0003999,0.011588227,0.000790914,0.000391014,0.001279682,0,0,0,0
202205_R3A,202205,3,PBforg,HIGH RFI,CONTROL,R3,0.241692084,0.289445532,0.255246506,0.174022397,0.008933855,0.006942232,0.005917968,0.005690354,6.83E-05,0.002867938,0.000933218,0.001115309,0.000534893,0.00063732,0.000216233,0.004631948,0.001058406,0,0,0,4.55E-05
202205_R2A,202205,3,PBforg,HIGH RFI,CONTROL,R2,0.30773379,0.320276326,0.31387954,0.016745077,0.016112836,0.013992971,0.00269632,0.004630232,0.000130167,0.000269632,0.000520669,0.000409097,0.000325418,0.00012087,0.000483478,0.000632241,0.000901873,0,0,0,0
